Time,TWMA,TWSTD
1520606730006339840,2754.957410,0.862246
1520606731006339840,2850.117872,95.703252
1520606732006339840,2949.806059,195.071562
1520606733006339840,3029.640211,275.346655
1520606734006339840,3126.089245,371.323595
1520606735006339840,3213.626405,459.148329
1520606736006339840,3305.348462,550.738475
1520606737006339840,3397.057706,642.094304
1520606738006339840,3494.303098,739.282175
1520606739006339840,3586.147729,830.382212
1520606740006339840,3674.585119,919.972408
1520606741006339840,3768.826646,1013.696529
1520606742006339840,3859.019075,1103.507701
1520606743006339840,3947.836562,1193.611230
1520606744006339840,4039.851907,1282.004591
1520606745006339840,4137.012618,1380.845587
1520606746006339840,4225.645878,1470.691034
1520606747006339840,4334.665697,1566.791831
1520606748006339840,4410.441936,1654.741320
1520606749006339840,4499.945991,1742.426438
1520606750006339840,4591.523952,1836.696882
1520606751006339840,4693.321245,1930.182191
1520606752006339840,4778.593462,2014.315700
1520606753006339840,4870.969173,2113.703843
1520606754006339840,4961.650329,2206.031375
1520606755006339840,5049.446296,2294.754022
1520606756006339840,5146.167873,2386.753694
1520606757006339840,5232.872198,2477.356184
1520606758006339840,5329.847050,2573.430432
1520606759006339840,5418.261891,2662.216607
1520606760006339840,5508.542035,2751.739523
1520606761006339840,5602.055223,2846.385836
1520606762006339840,5694.710089,2934.736429
1520606763006339840,5791.988986,3032.250493
1520606764006339840,5877.548141,3121.320864
1520606765006339840,5994.548412,3218.547672
1520606766006339840,6060.319763,3304.884592
1520606767006339840,6164.350107,3396.656766
1520606768006339840,6244.246534,3487.100184
1520606769006339840,6333.841050,3576.590973
1520606770006339840,6435.397614,3670.663642
1520606771006339840,6518.427147,3761.637813
1520606772006339840,6609.932715,3854.199688
1520606773006339840,6704.488927,3945.218518
1520606774006339840,6807.465375,4038.524539
1520606775006339840,6885.131448,4127.299617
1520606776006339840,6979.547519,4208.358398
1520606777006339840,7074.814402,4305.738777
1520606778006339840,7160.892406,4404.367156
1520606779006339840,7254.242801,4498.586892
1520606780006339840,7343.362793,4588.825372
1520606781006339840,7435.477825,4672.408347
1520606782006339840,7527.928722,4770.326172
1520606783006339840,7620.361063,4862.143992
1520606784006339840,7711.423958,4954.098089
1520606785006339840,7803.007462,5048.926370
1520606786006339840,7894.004464,5135.607454
1520606787006339840,7996.007848,5224.931785
1520606788006339840,8090.635304,5323.929377
1520606789006339840,8186.646750,5399.014612
1520606790006339840,8261.521079,5507.517999
1520606791006339840,8356.753723,5591.125839
1520606792006339840,8449.601318,5685.105498
1520606793006339840,8545.234072,5782.605089
1520606794006339840,8689.381401,5865.053361
1520606795006339840,8735.790949,5952.099191
1520606796006339840,8813.878567,6055.001034
1520606797006339840,8916.892797,6147.705095
1520606798006339840,8995.703052,6239.787082
1520606799006339840,9088.409966,6307.058202
1520606800006339840,9193.219359,6416.808304
1520606801006339840,9271.719930,6517.025387
1520606802006339840,9366.306100,6604.911100
1520606803006339840,9459.532390,6698.093488
1520606804006339840,9551.343839,6779.647870
1520606805006339840,9657.957966,6877.427080
1520606806006339840,9730.031405,6972.377307
1520606807006339840,9832.671036,7059.052324
1520606808006339840,9924.944146,7155.272813
1520606809006339840,10018.112491,7243.277080
1520606810006339840,10112.232302,7333.760051
1520606811006339840,10193.284614,7430.372362
1520606812006339840,10286.254834,7522.194750
1520606813006339840,10376.916289,7552.982355
1520606814006339840,10468.512475,7707.149341
1520606815006339840,10562.586970,7799.122251
1520606816006339840,10649.204487,7892.801212
1520606817006339840,10739.913313,7971.207876
1520606818006339840,10837.390922,8064.305157
1520606819006339840,10946.754842,8157.188753
1520606820006339840,11023.176920,8248.523626
1520606821006339840,11122.971563,8316.317207
1520606822006339840,11209.950469,8436.175184
1520606823006339840,11291.245407,8523.728202
1520606824006339840,11386.549045,8536.268175
1520606825006339840,11477.979737,8699.052250
1520606826006339840,11579.125928,8803.914305
1520606827006339840,11660.689603,8885.207082
1520606828006339840,11752.966384,8990.952208
1520606829006339840,11862.783353,9056.351669
1520606830006339840,11935.748712,9157.930479
1520606831006339840,12032.568784,9252.091943
1520606832006339840,12123.961730,9352.808992
1520606833006339840,12209.212237,9446.198500
1520606834006339840,12307.612374,9537.415079
1520606835006339840,12401.783275,9612.508669
1520606836006339840,12494.893274,9721.475069
1520606837006339840,12579.942172,9805.863242
1520606838006339840,12671.241100,9896.108465
1520606839006339840,12762.216385,9984.395234
1520606840006339840,12858.584828,10076.286886
1520606841006339840,12955.094891,10156.971500
1520606842006339840,13065.915132,10252.942804
1520606843006339840,13143.638585,10337.314534
1520606844006339840,13220.848123,10458.416531
1520606845006339840,13311.250039,10544.436715
1520606846006339840,13403.566081,10645.766176
1520606847006339840,13493.919364,10739.200241
1520606848006339840,13595.198848,10820.274540
1520606849006339840,13678.612743,10877.747090
1520606850006339840,13769.344831,10998.954148
1520606851006339840,13869.908241,11083.229532
1520606852006339840,13955.267409,11178.180942
1520606853006339840,14051.404170,11279.665207
1520606854006339840,14147.771707,11314.020909
1520606855006339840,14230.674741,11468.488165
1520606856006339840,14322.101393,11540.229150
1520606857006339840,14414.545297,11654.185862
1520606858006339840,14508.643516,11736.507970
1520606859006339840,14596.169526,11795.983935
1520606860006339840,14720.354823,11876.523042
1520606861006339840,14780.905033,12010.320450
1520606862006339840,14871.407564,12101.652958
1520606863006339840,14963.210214,12207.923564
1520606864006339840,15058.044336,12288.047750
1520606865006339840,15153.217826,12377.771028
1520606866006339840,15248.005885,12469.441516
1520606867006339840,15354.112603,12544.096701
1520606868006339840,15423.504346,12661.354257
1520606869006339840,15523.906673,12739.269081
1520606870006339840,15608.062238,12836.965565
1520606871006339840,15699.847128,12917.485831
1520606872006339840,15790.588717,12962.768205
1520606873006339840,15894.598673,13099.880562
1520606874006339840,15972.795478,13212.871174
1520606875006339840,16065.529725,13268.332999
1520606876006339840,16165.984171,13375.734889
1520606877006339840,16263.710770,13469.128088
1520606878006339840,16345.195026,13567.439072
1520606879006339840,16433.658995,13668.818951
1520606880006339840,16524.328054,13765.564097
1520606881006339840,16616.774070,13840.369135
1520606882006339840,16708.117464,13947.906164
1520606883006339840,16798.954894,14027.660325
1520606884006339840,16895.898646,14112.752437
1520606885006339840,16984.202500,14223.890505
1520606886006339840,17075.808429,14316.420830
1520606887006339840,17167.308280,14406.190352
1520606888006339840,17262.673813,14495.419064
1520606889006339840,17384.032184,14527.019162
1520606890006339840,17442.396636,14599.615900
1520606891006339840,17555.249548,14686.233292
1520606892006339840,17636.647701,14838.565679
1520606893006339840,17742.290985,14904.683966
1520606894006339840,17809.896262,15045.697976
1520606895006339840,17901.242675,15127.679016
1520606896006339840,18009.602826,15199.914383
1520606897006339840,18117.530837,15251.839040
1520606898006339840,18179.060834,15414.845779
1520606899006339840,18274.135826,15490.163888
1520606900006339840,18378.043981,15537.475228
1520606901006339840,18456.129414,15688.715972
1520606902006339840,18545.125663,15785.663370
1520606903006339840,18641.237202,15846.482704
1520606904006339840,18727.384647,15971.893423
1520606905006339840,18819.129601,16060.909614
1520606906006339840,18934.151632,16042.307081
