Time,TWMM
1520606730006339840,2754.304348
1520606731006339840,2754.311828
1520606732006339840,2754.316239
1520606733006339840,2754.304348
1520606734006339840,2754.311828
1520606735006339840,2754.304348
1520606736006339840,2754.304945
1520606737006339840,2754.311170
1520606738006339840,2754.311170
1520606739006339840,2754.041667
1520606740006339840,2753.932171
1520606741006339840,2753.927350
1520606742006339840,2753.917279
1520606743006339840,2753.894309
1520606744006339840,2753.878505
1520606745006339840,2753.840686
1520606746006339840,2753.834951
1520606747006339840,2753.816832
1520606748006339840,2753.780000
1520606749006339840,2753.703226
1520606750006339840,2753.697205
1520606751006339840,2753.650463
1520606752006339840,2753.638258
1520606753006339840,2753.635827
1520606754006339840,2753.630952
1520606755006339840,2753.624060
1520606756006339840,2753.605505
1520606757006339840,2753.574000
1520606758006339840,2753.555172
1520606759006339840,2753.562500
1520606760006339840,2753.562500
1520606761006339840,2753.561667
1520606762006339840,2753.562500
1520606763006339840,2753.543561
1520606764006339840,2753.543561
1520606765006339840,2753.536585
1520606766006339840,2753.530864
1520606767006339840,2753.445946
1520606768006339840,2753.426587
1520606769006339840,2753.415929
1520606770006339840,2753.388699
1520606771006339840,2753.387755
1520606772006339840,2753.387755
1520606773006339840,2753.387755
1520606774006339840,2753.383333
1520606775006339840,2753.350427
1520606776006339840,2753.339623
1520606777006339840,2753.330000
1520606778006339840,2753.325000
1520606779006339840,2753.323232
1520606780006339840,2753.312500
1520606781006339840,2753.305263
1520606782006339840,2753.302083
1520606783006339840,2753.302083
1520606784006339840,2753.302778
1520606785006339840,2753.309659
1520606786006339840,2753.312500
1520606787006339840,2753.311798
1520606788006339840,2753.311947
1520606789006339840,2753.310440
1520606790006339840,2753.316547
1520606791006339840,2753.319588
1520606792006339840,2753.325000
1520606793006339840,2753.328846
1520606794006339840,2753.342920
1520606795006339840,2753.382212
1520606796006339840,2753.389175
1520606797006339840,2753.389175
1520606798006339840,2753.469262
1520606799006339840,2753.531553
1520606800006339840,2753.581597
1520606801006339840,2753.603659
1520606802006339840,2753.613636
1520606803006339840,2753.626866
1520606804006339840,2753.644144
1520606805006339840,2753.662736
1520606806006339840,2753.668142
1520606807006339840,2753.673810
1520606808006339840,2753.675000
1520606809006339840,2753.676020
1520606810006339840,2753.677835
1520606811006339840,2753.685065
1520606812006339840,2753.695402
1520606813006339840,2753.735795
1520606814006339840,2753.776685
1520606815006339840,2753.785714
1520606816006339840,2753.786990
1520606817006339840,2753.792614
1520606818006339840,2753.811644
1520606819006339840,2753.833851
1520606820006339840,2753.836890
1520606821006339840,2753.847143
1520606822006339840,2753.853022
1520606823006339840,2753.862952
1520606824006339840,2753.995614
1520606825006339840,2754.004237
1520606826006339840,2754.015217
1520606827006339840,2754.087121
1520606828006339840,2754.114919
1520606829006339840,2754.257212
1520606830006339840,2754.289720
1520606831006339840,2754.300000
1520606832006339840,2754.327899
1520606833006339840,2754.335470
1520606834006339840,2754.358491
1520606835006339840,2754.367257
1520606836006339840,2754.366477
1520606837006339840,2754.370787
1520606838006339840,2754.370787
1520606839006339840,2754.370787
1520606840006339840,2754.370787
1520606841006339840,2754.370787
1520606842006339840,2754.370787
1520606843006339840,2754.370787
1520606844006339840,2754.370787
1520606845006339840,2754.367521
1520606846006339840,2754.336864
1520606847006339840,2754.333929
1520606848006339840,2754.333929
1520606849006339840,2754.333929
1520606850006339840,2754.332569
1520606851006339840,2754.327225
1520606852006339840,2754.333929
1520606853006339840,2754.364247
1520606854006339840,2754.334559
1520606855006339840,2754.325676
1520606856006339840,2754.300000
1520606857006339840,2754.289720
1520606858006339840,2754.275401
1520606859006339840,2754.218750
1520606860006339840,2754.183929
1520606861006339840,2754.160326
1520606862006339840,2754.159091
1520606863006339840,2754.129630
1520606864006339840,2754.101562
1520606865006339840,2754.034722
1520606866006339840,2754.034722
1520606867006339840,2754.022222
1520606868006339840,2754.017176
1520606869006339840,2754.028369
1520606870006339840,2754.046358
1520606871006339840,2754.081126
1520606872006339840,2754.096939
1520606873006339840,2754.112745
1520606874006339840,2754.118590
1520606875006339840,2754.127551
1520606876006339840,2754.129630
1520606877006339840,2754.129630
1520606878006339840,2754.129630
1520606879006339840,2754.129630
1520606880006339840,2754.129630
1520606881006339840,2754.129630
1520606882006339840,2754.129630
1520606883006339840,2754.129630
1520606884006339840,2754.129630
1520606885006339840,2754.148352
1520606886006339840,2754.148352
1520606887006339840,2754.288071
1520606888006339840,2754.293317
1520606889006339840,2754.296791
1520606890006339840,2754.298942
1520606891006339840,2754.312155
1520606892006339840,2754.337500
1520606893006339840,2754.526786
1520606894006339840,2754.538991
1520606895006339840,2754.562827
1520606896006339840,2754.648810
1520606897006339840,2754.791367
1520606898006339840,2754.796763
1520606899006339840,2754.796763
1520606900006339840,2754.802083
1520606901006339840,2754.802448
1520606902006339840,2754.814465
1520606903006339840,2754.822443
1520606904006339840,2754.828526
1520606905006339840,2754.831761
1520606906006339840,2754.832707
1520606907006339840,2754.833969
1520606908006339840,2754.834586
1520606909006339840,2754.834848
1520606910006339840,2754.833955
1520606911006339840,2754.833832
1520606912006339840,2754.831395
1520606913006339840,2754.826705
1520606914006339840,2754.822857
1520606915006339840,2754.822443
1520606916006339840,2754.816038
1520606917006339840,2754.800000
1520606918006339840,2754.791367
1520606919006339840,2754.717899
1520606920006339840,2754.708333
1520606921006339840,2754.705323
1520606922006339840,2754.688192
1520606923006339840,2754.665254
1520606924006339840,2754.662500
1520606925006339840,2754.651515
1520606926006339840,2754.613475
1520606927006339840,2754.572034
1520606928006339840,2754.190104
1520606929006339840,2754.178218
1520606930006339840,2754.150000
1520606931006339840,2754.109649
1520606932006339840,2754.044643
1520606933006339840,2754.044643
1520606934006339840,2754.044643
1520606935006339840,2754.026699
1520606936006339840,2754.030952
1520606937006339840,2754.044643
1520606938006339840,2754.044643
1520606939006339840,2754.044643
1520606940006339840,2754.044643
1520606941006339840,2754.026087
1520606942006339840,2754.026087
